Frameno_fix,lineno_fix,Tokenname_fix,tokens_id,gaze_X_fix,gaze_Y_fix,timestamp_fix_start,timestamp_fix_end,time_duration
100,0,blank,0,66.30486,-52.2535,3079,3252,173
100,0,blank,0,67.44398,-51.67354,3252,3428,176
100,0,blank,0,66.7712,-57.1854,3428,3463,35
100,0,blank,0,279.415825,85.002475,3498,3638,140
100,0,blank,0,566.48086,28.87366,3674,3857,183
100,0,blank,0,582.83174,10.9402,3857,4037,180
100,0,blank,0,494.4582,14.6111,4037,4143,106
100,0,blank,0,169.57136,16.17718,4178,4358,180
100,1,Program,4,78.87648,15.64,4358,4538,180
100,1,to,5,147.67306,17.5354,4538,4715,177
100,1,whether,7,282.35994,17.02298,4715,4892,177
100,1,given,9,368.41584,15.27112,4892,5068,176
100,1,Number,13,449.3238,11.9021,5068,5240,172
100,1,is,11,477.96556,13.78738,5240,5411,171
100,1,Perfect,12,555.4942,4.15196,5411,5600,189
100,0,blank,0,577.23666,-0.83734,5600,5782,182
100,0,blank,0,571.7136,2.4792,5782,5963,181
100,0,blank,0,574.512,-1.86040000000001,5963,6037,74
100,0,blank,0,289.78626,-0.132100000000003,6074,6261,187
100,1,Program,4,130.6888,10.41756,6299,6487,188
100,1,Check,6,186.98432,14.4491,6487,6676,189
100,1,whether,7,293.27714,12.01418,6676,6869,193
100,1,given,9,360.54194,21.92808,6869,7050,181
100,0,blank,0,336.440633333333,38.9322333333333,7050,7162,112
100,6,rem,31,131.60616,121.79358,7200,7382,182
100,7,"%d",41,126.43422,143.42632,7382,7563,181
100,7,(,40,100.32458,154.78216,7563,7750,187
100,6,int,28,61.04572,132.55706,7750,7945,195
100,0,blank,0,41.0843,166.08895,7945,8029,84
100,0,blank,0,-350,-105,8070,8175,105
100,4,int,23,26.14022,76.53696,8369,8552,183
100,4,int,23,9.13080000000001,85.0447,8552,8706,154
100,0,blank,0,33.7578333333333,113.523366666667,8706,8879,173
100,6,int,28,44.50898,119.75602,8879,9068,189
100,6,n,29,83.83974,131.23622,9068,9256,188
100,0,blank,0,108.93898,130.8485,9256,9433,177
100,0,blank,0,104.87168,134.83036,9433,9612,179
100,7,scanf,39,81.11706,142.48464,9612,9801,189
100,0,blank,0,81.36454,161.09078,9801,9989,188
100,0,blank,0,131.414366666667,169.355066666667,9989,10101,112
100,0,blank,0,-350,-105,10175,10371,196
100,0,blank,0,-350,-105,10371,10398,27
100,7,(,40,95.78218,135.38932,10545,10741,196
100,7,(,40,102.90298,145.94256,10741,10940,199
100,7,(,40,99.8698,142.25274,10940,11136,196
100,7,"%d",41,105.8941,140.91372,11136,11322,186
100,0,blank,0,112.59166,134.13068,11322,11510,188
100,0,blank,0,110.51924,134.24542,11510,11705,195
100,7,"%d",41,110.7953,135.68214,11705,11903,198
100,6,comma,36,148.68432,129.54402,11903,12095,192
100,6,s,33,169.05498,132.15868,12095,12283,188
100,6,=,34,184.21542,125.22644,12283,12461,178
100,0,blank,0,200.85662,122.24984,12461,12643,182
100,0,blank,0,197.72352,121.61214,12643,12819,176
100,7,comma,42,150.18706,155.7912,12819,12999,180
100,8,=,50,113.27908,171.0867,12999,13180,181
100,8,1,58,135.70004,177.75934,13180,13361,181
100,0,blank,0,182.27674,180.99798,13361,13545,184
100,0,blank,0,201.20376,181.04344,13545,13730,185
100,0,blank,0,224.872533333333,180.2164,13730,13849,119
100,0,blank,0,266.8323,188.7435,13849,13946,97
100,0,blank,0,180.694,195.7672,14196,14250,54
100,11,rem,73,101.16034,229.5897,14340,14517,177
100,11,if,71,56.97986,230.10252,14517,14704,187
100,11,rem,73,90.0584,230.410766666667,14704,14815,111
100,11,==,74,141.4918,228.6092,14815,14996,181
100,10,=,66,128.2542,219.45228,14996,15175,179
100,8,(,55,86.21922,162.38544,15175,15356,181
100,8,for,47,60.6006,161.29862,15356,15539,183
100,8,for,47,50.02312,164.82958,15539,15719,180
100,8,for,47,44.64916,160.34716,15719,15901,182
100,0,blank,0,82.61598,160.11146,15901,16085,184
100,8,i,61,98.0115,164.81788,16085,16270,185
100,8,(,55,90.13056,158.71188,16270,16450,180
