Frameno_fix,lineno_fix,Tokenname_fix,tokens_id,gaze_X_fix,gaze_Y_fix,timestamp_fix_start,timestamp_fix_end,time_duration
100,0,blank,0,56.16945,-65.2288,3364,3549,185
100,0,blank,0,80.44105,-83.94655,3549,3734,185
100,0,blank,0,79.4899,-89.4048,3734,3796,62
100,1,Perfect,12,570.838533333333,21.44375,3858,4047,189
100,1,Number,13,595.69835,11.3630333333333,4047,4234,187
100,1,Number,13,618.647216666667,7.31965,4234,4423,189
100,0,blank,0,480.257083333333,-6.17563333333333,4455,4641,186
100,0,blank,0,581.98745,11.1807833333333,4641,4829,188
100,1,Number,13,587.317133333333,13.4799166666667,4829,5015,186
100,1,Number,13,584.467,7.4547,5015,5046,31
100,0,blank,0,1043.98633333333,0.732366666666669,5110,5203,93
100,0,blank,0,1065.05866666667,-20.0239,5267,5363,96
100,0,blank,0,693.7085,-22.8776666666667,5424,5613,189
100,0,blank,0,668.032666666667,-41.7713666666667,5613,5705,92
100,0,blank,0,113.17505,96.2186333333333,5770,5966,196
100,0,blank,0,126.0245,99.5543,5966,5997,31
100,0,blank,0,-350,-105,6062,6251,189
100,0,blank,0,-350,-105,6251,6442,191
100,0,blank,0,-350,-105,6442,6634,192
100,0,blank,0,-350,-105,6634,6706,72
100,0,blank,0,187.1038,183.61435,6737,6835,98
100,0,blank,0,241.5952,462.4393,6946,7056,110
100,0,blank,0,-350,-105,7153,7319,166
100,0,blank,0,-350,-105,7319,7486,167
100,0,blank,0,-350,-105,7486,7658,172
100,0,blank,0,-350,-105,7658,7835,177
100,0,blank,0,-350,-105,7835,7999,164
100,0,blank,0,-350,-105,7999,8233,234
100,0,blank,0,-350,-105,8233,8326,93
100,0,blank,0,187.4425,782.394333333333,8358,8443,85
100,0,blank,0,140.7274,108.53342,8572,8739,167
100,0,blank,0,122.6585,65.41032,8739,8907,168
100,2,stdio,19,105.7427,40.0076333333333,8907,9106,199
100,0,blank,0,90.27808,46.7873,9106,9279,173
100,0,blank,0,103.1446,54.73176,9279,9465,186
100,0,blank,0,126.3604,95.5243333333333,9465,9574,109
100,0,blank,0,-350,-105,9684,9870,186
100,0,blank,0,-350,-105,9870,10049,179
100,0,blank,0,-350,-105,10049,10241,192
100,0,blank,0,-350,-105,10241,10425,184
100,0,blank,0,-350,-105,10425,10623,198
100,0,blank,0,-350,-105,10623,10720,97
100,0,blank,0,-350,-105,10720,10906,186
