time_duration,lineno_fix
31,0
63,0
63,2
156,1
95,1
63,1
156,1
95,1
32,1
32,1
62,0
158,0
32,1
32,0
31,1
157,1
30,1
32,0
33,0
29,0
96,0
26,1
54,0
25,0
177,0
173,0
25,0
32,2
26,2
32,3
32,3
33,0
32,3
33,0
32,2
32,3
80,0
32,0
48,0
45,1
113,0
84,0
198,0
64,3
162,2
31,1
32,0
130,2
132,2
34,2
31,0
63,3
30,0
96,0
31,5
32,0
32,6
65,5
31,0
31,6
32,6
160,0
32,8
32,0
24,6
196,6
33,0
98,6
33,0
96,6
64,6
32,6
64,6
32,7
32,6
159,0
127,6
127,6
32,6
32,0
64,7
64,9
66,8
64,4
65,2
98,0
99,0
35,1
33,1
32,1
33,1
66,0
33,1
197,1
32,1
100,1
66,6
33,8
33,8
33,9
33,10
97,9
97,9
65,9
198,9
66,9
66,0
32,0
65,9
66,9
64,0
65,9
195,9
33,9
33,9
65,9
162,9
194,9
198,9
164,9
33,9
33,0
65,0
194,10
32,9
32,0
95,9
33,9
34,0
124,0
31,9
36,9
180,0
173,0
71,0
70,9
71,11
37,0
179,0
179,0
180,0
37,0
177,13
180,0
175,9
34,9
182,0
36,9
179,9
75,9
145,9
175,10
71,10
35,0
106,0
105,0
68,0
35,0
137,0
173,0
142,13
114,0
126,0
40,10
178,0
139,0
143,0
106,0
33,0
37,0
124,0
88,0
54,0
62,0
173,0
112,0
35,0
36,0
173,0
34,0
104,9
169,6
32,6
71,6
173,8
175,9
173,7
35,7
138,0
176,10
178,0
180,11
34,10
144,0
75,0
177,0
36,13
176,0
145,0
177,13
68,13
105,0
177,13
108,13
143,0
174,0
70,0
173,0
138,0
175,0
140,10
139,0
100,0
169,13
106,0
174,13
35,13
171,0
34,0
169,0
134,0
136,8
136,8
172,7
66,7
172,6
171,6
177,0
176,5
175,0
35,7
141,0
176,8
36,8
174,8
173,0
138,0
138,9
138,0
172,0
35,0
171,0
70,0
137,0
68,0
35,0
173,0
70,9
173,0
175,0
177,0
176,0
139,0
171,0
174,0
103,0
138,0
139,0
138,9
137,0
171,0
172,9
35,0
34,10
172,0
171,0
173,0
35,0
139,10
175,9
179,10
35,10
174,0
34,0
176,13
174,13
173,13
102,13
138,0
136,0
170,14
141,13
174,13
137,0
103,0
126,14
123,15
173,14
69,14
68,0
170,14
69,14
170,0
34,0
168,15
67,0
101,15
135,17
66,17
112,0
34,8
168,8
35,8
173,0
35,0
173,0
105,9
136,0
173,0
104,0
35,0
140,0
136,0
170,0
102,0
169,9
199,9
33,0
68,9
33,0
101,9
33,0
199,0
34,9
170,0
169,7
138,7
103,0
168,10
168,9
67,4
67,4
33,11
102,10
169,0
171,10
68,0
100,0
62,10
195,0
101,9
103,10
169,0
32,0
171,0
34,9
134,9
69,0
169,10
35,10
103,13
168,0
35,0
171,0
101,0
135,0
170,0
34,0
139,9
136,9
136,13
171,0
69,13
172,13
69,0
170,0
67,0
136,0
137,15
136,0
170,14
171,0
35,0
170,14
70,14
171,0
170,15
169,0
68,0
167,14
67,14
82,0
28,14
90,0
168,15
169,0
68,17
102,0
133,17
134,17
136,0
170,0
69,0
138,0
70,14
35,14
138,0
37,0
35,0
36,17
35,17
105,17
171,0
71,0
104,0
172,0
133,0
34,0
143,19
173,0
34,0
35,19
90,0
38,0
101,0
70,19
134,0
102,19
138,20
173,20
70,20
104,20
104,0
137,19
171,20
70,20
140,20
174,20
34,19
175,0
139,20
188,0
26,0
182,20
104,21
105,21
140,21
70,20
173,21
34,21
174,0
177,20
179,20
107,20
175,20
36,20
104,20
142,21
34,21
177,21
178,19
34,19
143,20
178,20
69,19
174,20
35,20
175,19
141,19
175,19
35,19
36,19
106,20
176,20
172,0
104,21
171,21
105,21
171,0
70,0
34,21
69,21
171,0
33,0
103,24
61,0
26,0
89,19
133,20
168,20
34,19
35,19
33,19
99,0
64,0
67,20
101,20
102,20
171,19
135,19
173,19
170,0
101,0
103,19
105,19
170,21
167,0
33,0
66,21
67,21
35,21
73,0
36,21
37,21
78,21
45,21
76,0
37,0
40,0
38,0
39,21
36,21
37,20
186,0
37,21
75,0
37,0
174,0
176,0
180,0
37,0
176,19
36,19
175,21
35,0
96,21
194,0
114,23
145,21
72,19
68,20
72,20
147,19
176,19
68,19
33,19
105,0
143,0
68,19
32,19
139,0
33,22
33,0
33,21
98,0
34,20
96,0
107,0
98,19
170,19
33,0
27,20
68,19
98,0
33,0
34,0
33,21
167,20
170,20
68,20
70,20
40,19
141,19
33,20
139,19
171,19
34,19
169,19
178,19
105,19
69,0
104,0
38,0
174,19
106,20
145,20
173,0
71,20
89,0
57,20
143,20
179,20
177,20
178,19
70,19
147,21
145,20
88,0
93,21
181,20
70,0
106,21
177,20
101,20
35,21
107,0
139,20
110,20
174,0
36,0
35,21
105,20
178,0
173,21
71,21
139,21
174,21
67,21
178,0
140,20
178,20
35,21
184,20
188,0
105,21
178,21
141,21
33,21
173,21
168,21
33,21
33,21
67,0
198,21
172,0
71,21
138,21
140,0
174,21
