Frameno_fix,lineno_fix,Tokenname_fix,tokens_id,gaze_X_fix,gaze_Y_fix,timestamp_fix_start,timestamp_fix_end,time_duration
100,0,blank,0,80.9528333333333,-97.05125,4726,4888,162
100,0,blank,0,232.92715,-49.4557,4918,5038,120
100,0,blank,0,125.615616666667,-56.6085666666667,5068,5249,181
100,0,blank,0,110.17645,-49.6651333333333,5249,5428,179
100,0,blank,0,111.4233,-42.72476,5428,5601,173
100,0,blank,0,32.1291,-22.21155,5601,5776,175
100,0,blank,0,78.9120833333333,-16.2394666666667,5776,5954,178
100,0,blank,0,103.087683333333,-29.0514,5954,6133,179
100,0,blank,0,101.932633333333,-41.5487833333333,6133,6311,178
100,0,blank,0,108.480383333333,-6.7791,6311,6491,180
100,0,blank,0,114.1157,-5.26406666666666,6491,6670,179
100,0,blank,0,114.425083333333,-31.2750333333333,6670,6843,173
100,1,Sort,4,118.56105,7.78626666666667,6843,7017,174
100,0,blank,0,115.467566666667,-23.6360333333333,7017,7194,177
100,0,blank,0,119.65415,-18.9558666666667,7194,7372,178
100,0,blank,0,108.5136,-8.69070000000001,7372,7401,29
100,0,blank,0,1007.37733333333,25.4763666666667,8210,8305,95
100,0,blank,0,966.227,224.5954,8395,8424,29
100,0,blank,0,995.473,-33.9032,8456,8485,29
100,0,blank,0,1003.9015,688.186475,8725,8831,106
100,0,blank,0,101.291833333333,711.114666666667,8894,9078,184
100,0,blank,0,83.25194,702.63922,9078,9255,177
100,0,blank,0,51.0983666666667,722.826933333333,9255,9346,91
100,0,blank,0,-323,-105,9376,9574,198
100,6,"Listis:",28,105.7848,116.9599,9600,9621,21
100,1,Bubble,3,52.4399857142857,7.52741428571429,9676,9875,199
100,0,blank,0,60.5788166666667,-29.7388333333333,9875,10055,180
100,0,blank,0,5.31203999999998,-55.7483,10055,10245,190
100,0,blank,0,31.3365833333333,-31.1598333333333,10245,10423,178
100,0,blank,0,33.29102,-8.42894,10423,10593,170
100,1,Bubble,3,30.3802333333333,6.29566666666667,10593,10713,120
100,0,blank,0,86.83,-65.1909,10713,11022,309
100,0,blank,0,71.3977666666667,-0.452399999999997,11022,11193,171
100,0,blank,0,69.90418,-6.4415,11193,11383,190
100,1,Bubble,3,49.07535,5.84038333333333,11383,11564,181
100,1,Bubble,3,36.6954,8.36455,11564,11709,145
100,1,Bubble,3,43.32265,2.945325,11709,11846,137
100,0,blank,0,35.7538333333333,-1.42743333333334,11846,12030,184
100,1,Bubble,3,44.986,14.9071,12030,12137,107
100,0,blank,0,-6.59190000000001,-17.7363,12137,12247,110
100,0,blank,0,109.8172,-16.6575,12296,12322,26
100,1,Sort,4,98.2975,18.0961,12322,12525,203
100,0,blank,0,87.8766833333333,25.78035,12525,12706,181
100,3,displayList,13,55.1439166666667,48.9735666666667,12706,12885,179
100,3,void,12,27.4474,48.2311,12885,13054,169
100,1,Bubble,3,28.21452,14.58298,13054,13249,195
100,2,<,7,96.7116,29.67095,13249,13408,159
100,0,blank,0,111.0649,-1.37625,13408,13558,150
100,0,blank,0,92.6089,7.51983333333333,13558,13737,179
100,0,blank,0,115.381257142857,25.8150142857143,13737,13934,197
100,1,Sort,4,113.24684,23.09042,13934,14103,169
100,2,include,6,59.93034,39.67068,14103,14294,191
100,2,include,6,71.7432333333334,30.9653666666667,14294,14491,197
100,0,blank,0,45.76874,51.6151,14491,14688,197
100,0,blank,0,75.8985333333333,46.3504666666667,14739,14917,178
100,3,displayList,13,129.368025,53.774,14917,15021,104
100,0,blank,0,163.7844,106.0556,15021,15128,107
100,3,displayList,13,115.66668,59.7468,15203,15385,182
100,0,blank,0,253.397875,-41.3277,15443,15582,139
100,0,blank,0,188.1527,-45.938125,15582,15759,177
100,0,blank,0,268.2656,-51.629625,15759,15951,192
100,0,blank,0,289.97185,-53.28725,15951,16107,156
100,0,blank,0,85.4436166666667,9.5517,16165,16357,192
100,0,blank,0,85.0722,11.25048,16357,16532,175
100,0,blank,0,88.61002,11.00106,16532,16671,139
100,2,stdio,8,108.7103,38.4022666666667,16671,16830,159
100,0,blank,0,-323,-105,16885,17063,178
100,0,blank,0,-323,-105,17063,17154,91
100,3,displayList,13,133.302185714286,53.5192285714286,17181,17376,195
100,2,stdio,8,130.331733333333,33.22565,17376,17552,176
100,0,blank,0,116.597,42.1639,17552,17582,30
100,0,blank,0,174.98575,4.64685000000001,17612,17672,60
100,3,*,16,221.48615,63.19425,17701,17759,58
