Frameno_fix,lineno_fix,Tokenname_fix,tokens_id,gaze_X_fix,gaze_Y_fix,timestamp_fix_start,timestamp_fix_end,time_duration
100,0,blank,0,116.48906,-62.30604,4579,4761,182
100,1,Print,6,186.99268,20.3488,4761,4942,181
100,0,blank,0,197.2892,27.7075666666667,4942,5049,107
100,1,Pattern,8,344.36852,15.16838,5084,5262,178
100,1,*,9,392.2292,0.781100000000002,5262,5363,101
100,0,blank,0,418.5241,77.1318,5363,5485,122
100,0,blank,0,329.5476,82.9532,5485,5613,128
100,0,blank,0,303.6534,23.90495,5613,5803,190
100,1,Diamond,7,257.51044,2.52762,5803,5969,166
100,1,Diamond,7,231.48116,5.25166,5969,6142,173
100,1,Diamond,7,288.34118,6.94934,6142,6325,183
100,1,Pattern,8,348.84812,2.00686,6325,6497,172
100,1,Diamond,7,259.18792,13.43206,6497,6673,176
100,1,Diamond,7,253.34664,9.82776,6673,6853,180
100,0,blank,0,181.09928,90.25936,6853,7026,173
100,5,comma,29,211.5204,107.65524,7026,7205,179
100,6,"Enternumberofrows\n",36,249.76156,116.90836,7205,7386,181
100,7,number,44,211.27564,153.08456,7386,7578,192
100,9,<=,60,189.20868,190.2007,7578,7758,180
100,0,blank,0,184.84862,470.49246,7795,7988,193
100,0,blank,0,179.9993,477.10556,7988,8177,189
100,0,blank,0,188.6262,480.773933333333,8177,8296,119
100,0,blank,0,208.93344,294.29756,8330,8519,189
100,0,blank,0,211.962175,289.529775,8519,8681,162
100,0,blank,0,211.9752,256.85774,8681,8872,191
100,11,i,77,209.940725,241.56545,8872,9045,173
100,0,blank,0,208.857366666667,246.210133333333,9045,9149,104
100,6,"Enternumberofrows\n",36,284.6875,126.74632,9185,9365,180
100,6,"Enternumberofrows\n",36,289.28844,128.8545,9365,9545,180
100,6,"Enternumberofrows\n",36,220.22012,130.76234,9545,9722,177
100,6,"Enternumberofrows\n",36,202.18516,131.01452,9722,9914,192
100,6,"Enternumberofrows\n",36,202.72062,125.767,9914,10107,193
100,6,"Enternumberofrows\n",36,202.00148,119.91906,10107,10298,191
100,6,"Enternumberofrows\n",36,202.40775,121.929025,10298,10460,162
100,6,"Enternumberofrows\n",36,202.9307,119.697325,10460,10627,167
100,6,"Enternumberofrows\n",36,197.46305,115.2068,10627,10790,163
100,5,i,26,169.67385,108.609525,10790,10964,174
100,5,number,24,139.4617,102.9704,10964,11130,166
100,5,number,24,101.46536,95.0783,11130,11328,198
100,5,number,24,105.70524,99.43654,11328,11516,188
100,5,number,24,107.9648,96.2007,11516,11707,191
100,5,number,24,107.608175,96.14785,11707,11872,165
